6464	5	6465	1952	1964
6465	15	6464	1952	1964
10289	9	10290	1787	3000
10290	19	10289	1787	3000
8429	9	8468	0	0
8468	19	8429	0	0
8147	9	8148	2010	3000
8148	19	8147	2010	3000
3790	4	944	1925	1974
944	14	3790	1925	1974
9384	9	9385	0	0
9385	19	9384	0	0
7184	5	7185	0	0
7185	15	7184	0	0
1757	9	9000	2011	3000
9000	19	1757	2011	3000
10172	9	10173	1976	3000
10173	19	10172	1976	3000
4048	1	4049	1980	3000
4049	11	4048	1980	3000
4061	1	4062	2001	2011
4062	11	4061	2001	2011
9218	9	9219	1990	3000
9219	19	9218	1990	3000
2206	9	8626	2001	3000
8626	19	2206	2001	3000
8297	9	8298	2008	3000
8298	19	8297	2008	3000
4040	1	4041	1959	1999
4041	11	4040	1959	1999
8201	9	10499	2009	3000
10499	19	8201	2009	3000
10357	9	10358	1489	3000
10358	19	10357	1489	3000
8488	9	8489	2000	3000
8489	19	8488	2000	3000
6546	5	7231	1948	3000
7231	15	6546	1948	3000
6755	5	6756	2014	3000
6756	15	6755	2014	3000
2373	9	10541	1995	1999
10541	19	2373	1995	1999
5928	9	9213	1962	3000
9213	19	5928	1962	3000
8276	9	8277	0	0
8277	19	8276	0	0
5915	3	5228	1976	3000
5228	13	5915	1976	3000
8728	9	8729	1922	3000
8729	19	8728	1922	3000
3534	7	1401	2017	2017
1401	17	3534	2017	2017
2340	5	6449	0	0
6449	15	2340	0	0
8529	9	8530	1873	1894
8530	19	8529	1873	1894
5952	9	8588	1939	1999
8588	19	5952	1939	1999
2013	9	10274	2008	3000
10274	19	2013	2008	3000
6351	5	6722	1905	1940
6722	15	6351	1905	1940
9220	9	9221	1999	2004
9221	19	9220	1999	2004
8951	9	10449	2000	3000
10449	19	8951	2000	3000
6329	5	6330	1967	3000
6330	15	6329	1967	3000
6331	5	6386	1976	1985
6386	15	6331	1976	1985
6407	5	6408	1999	2001
6408	15	6407	1999	2001
3731	9	8084	2009	3000
8084	19	3731	2009	3000
7934	9	7935	2017	3000
7935	19	7934	2017	3000
6881	5	6882	1825	1868
6882	15	6881	1825	1868
3154	9	9073	1986	3000
9073	19	3154	1986	3000
2378	4	6165	1950	3000
6165	14	2378	1950	3000
9984	9	9985	1961	3000
9985	19	9984	1961	3000
10232	9	10233	1918	3000
10233	19	10232	1918	3000
3399	3	5397	1825	3000
5397	13	3399	1825	3000
2254	9	10606	1987	3000
10606	19	2254	1987	3000
8623	9	8624	1959	1960
8624	19	8623	1959	1960
8431	9	8432	2011	3000
8432	19	8431	2011	3000
1693	9	9282	2000	3000
9282	19	1693	2000	3000
7384	9	7889	1990	2010
7889	19	7384	1990	2010
6727	5	6728	1811	1818
6728	15	6727	1811	1818
8612	9	8613	2013	3000
8613	19	8612	2013	3000
7398	5	7399	1960	2012
7399	15	7398	1960	2012
3753	4	1086	1984	3000
1086	14	3753	1984	3000
10537	9	8113	1960	2016
8113	19	10537	1960	2016
6994	5	6995	2003	2009
6995	15	6994	2003	2009
10201	9	9478	1914	1917
9478	19	10201	1914	1917
9432	9	9433	2003	3000
9433	19	9432	2003	3000
6525	5	6869	0	0
6869	15	6525	0	0
10399	9	8629	1990	3000
8629	19	10399	1990	3000
7392	5	6918	1922	1925
6918	15	7392	1922	1925
5942	9	9268	1935	3000
9268	19	5942	1935	3000
10486	9	10487	1961	3000
10487	19	10486	1961	3000
3433	9	10524	1997	3000
10524	19	3433	1997	3000
6937	5	6601	1986	1988
6601	15	6937	1986	1988
340	9	10021	1951	3000
10021	19	340	1951	3000
4122	1	4123	1996	3000
4123	11	4122	1996	3000
2263	0	290	1928	1928
290	10	2263	1928	1928
2914	1	4201	2004	2008
4201	11	2914	2004	2008
2008	4	3341	1962	1966
3341	14	2008	1962	1966
7006	5	6750	1961	1963
6750	15	7006	1961	1963
10132	9	10133	1718	1719
10133	19	10132	1718	1719
8996	9	8997	1929	1940
8997	19	8996	1929	1940
10197	9	10372	1956	3000
10372	19	10197	1956	3000
2454	0	103	1849	1849
103	10	2454	1849	1849
9370	9	9371	0	0
9371	19	9370	0	0
1426	5	6993	2000	2001
6993	15	1426	2000	2001
6383	5	6417	0	0
6417	15	6383	0	0
6222	9	8550	1960	3000
8550	19	6222	1960	3000
8378	9	8379	2012	3000
8379	19	8378	2012	3000
1054	9	9569	1946	3000
9569	19	1054	1946	3000
6538	5	6539	2009	3000
6539	15	6538	2009	3000
3393	1	3949	2013	3000
3949	11	3393	2013	3000
1346	9	10365	1935	3000
10365	19	1346	1935	3000
6799	7	308	1976	1976
308	17	6799	1976	1976
7499	9	9401	1982	1985
9401	19	7499	1982	1985
9278	9	10258	1964	3000
10258	19	9278	1964	3000
6053	9	9262	1985	3000
9262	19	6053	1985	3000
7932	9	10434	2011	3000
10434	19	7932	2011	3000
2942	4	2429	1997	3000
2429	14	2942	1997	3000
7420	5	6520	1968	3000
6520	15	7420	1968	3000
2819	9	9548	1968	3000
9548	19	2819	1968	3000
1514	4	1629	1999	2007
1629	14	1514	1999	2007
8855	9	8411	1997	2000
8411	19	8855	1997	2000
8330	9	8331	2009	3000
8331	19	8330	2009	3000
10168	9	10169	1888	1953
10169	19	10168	1888	1953
4103	1	3848	2000	3000
3848	11	4103	2000	3000
6418	5	7096	1993	3000
7096	15	6418	1993	3000
9042	9	9303	1998	3000
9303	19	9042	1998	3000
2197	9	7899	1927	1998
7899	19	2197	1927	1998
7814	8	7674	1847	3000
7674	18	7814	1847	3000
